date,rank,song_title,artist
2016-01-02,1,Hello,Adele
2016-01-02,2,Sorry,Justin Bieber
2016-01-02,3,Hotline Bling,Drake
2016-01-02,4,Love Yourself,Justin Bieber
2016-01-02,5,What Do You Mean?,Justin Bieber
2016-01-02,6,Same Old Love,Selena Gomez
2016-01-02,7,The Hills,The Weeknd
2016-01-02,8,Here,Alessia Cara
2016-01-02,9,Stitches,Shawn Mendes
2016-01-02,10,Like I'm Gonna Lose You,Meghan Trainor 
2016-01-02,11,679,Fetty Wap 
2016-01-02,12,In The Night,The Weeknd
2016-01-02,13,Jumpman,Drake 
2016-01-02,14,On My Mind,Ellie Goulding
2016-01-02,15,Can't Feel My Face,The Weeknd
2016-01-02,16,Antidote,Travis Scott
2016-01-02,17,Ex's & Oh's,Elle King
2016-01-02,18,All I Want For Christmas Is You,Mariah Carey
2016-01-02,19,Stressed Out,twenty one pilots
2016-01-02,20,Don't,Bryson Tiller
2016-01-02,21,Die A Happy Man,Thomas Rhett
2016-01-02,22,White Iverson,Post Malone
2016-01-02,23,Wildest Dreams,Taylor Swift
2016-01-02,24,Mary Did You Know,Jordan Smith
2016-01-02,25,Lean On,Major Lazer 
2016-01-02,26,Roses,The Chainsmokers 
2016-01-02,27,Watch Me,Silento
2016-01-02,28,Say It,Tory Lanez
2016-01-02,29,Burning House,Cam
2016-01-02,30,Confident,Demi Lovato
2016-01-02,31,Trap Queen,Fetty Wap
2016-01-02,32,Perfect,One Direction
2016-01-02,33,Focus,Ariana Grande
2016-01-02,34,Break Up In A Small Town,Sam Hunt
2016-01-02,35,Where Ya At,Future 
2016-01-02,36,No Role Modelz,J. Cole
2016-01-02,37,Locked Away,R. City 
2016-01-02,38,Rockin' Around The Christmas Tree,Brenda Lee
2016-01-02,39,Where Are U Now,Skrille
2016-01-02,40,"Me, Myself & I",G-Eazy 
2016-01-02,41,Hide Away,Daya
2016-01-02,42,See You Again,Wiz Khalifa 
2016-01-02,43,Good For You,Selena Gomez 
2016-01-02,44,Adventure Of A Lifetime,Coldplay
2016-01-02,45,Again,Fetty Wap
2016-01-02,46,I Know What You Did Last Summer,Shawn Mendes 
2016-01-02,47,Cake By The Ocean,DNCE
2016-01-02,48,Exchange,Bryson Tiller
2016-01-02,49,Cheerleader,OMI
2016-01-02,50,Drag Me Down,One Direction
2016-01-02,51,My House,Flo Rida
2016-01-02,52,Hit The Quan,iLoveMemphis
