song_title,artist,genres,date,rank
Leave The Door Open,Silk Sonic (Bruno Mars ,Need Manual Check,,
Montero (Call Me By Your Name),Lil Nas ,['lgbtq+ hip hop'],2021-04-17,2.0
Peaches,Justin Bieber ,"['canadian pop', 'pop']",2021-04-17,3.0
Up,Cardi B,"['pop', 'rap']",2021-04-17,4.0
Drivers License,Olivia Rodrigo,['pop'],2021-04-17,5.0
Save Your Tears,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",2021-04-17,6.0
Levitating,Dua Lipa ,"['dance pop', 'pop', 'uk pop']",2021-04-17,7.0
Deja Vu,Olivia Rodrigo,['pop'],2021-04-17,8.0
Blinding Lights,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",2021-04-17,9.0
Astronaut In The Ocean,Masked Wolf,['australian hip hop'],2021-04-17,10.0
Calling My Phone,Lil Tjay ,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",2021-04-17,11.0
What You Know Bout Love,Pop Smoke,"['brooklyn drill', 'rap']",2021-04-17,12.0
Mood,24kGoldn ,"['cali rap', 'pop rap']",2021-04-17,13.0
Best Friend,Saweetie ,"['cali rap', 'trap queen']",2021-04-17,14.0
34+35,Ariana Grande,['pop'],2021-04-17,15.0
Go Crazy,Chris Brown ,"['r&b', 'rap']",2021-04-17,16.0
What's Next,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2021-04-17,17.0
Back In Blood,Pooh Shiesty ,"['memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']",2021-04-17,18.0
Beat Box,SpotemGottem ,"['florida drill', 'florida rap']",2021-04-17,19.0
Therefore I Am,Billie Eilish,"['art pop', 'pop']",2021-04-17,20.0
You Broke Me First.,Tate McRae,['pop'],2021-04-17,21.0
Heartbreak Anniversary,Giveon,['r&b'],2021-04-17,22.0
You're Mines Still,Yung Bleu ,"['alabama rap', 'trap']",2021-04-17,23.0
Positions,Ariana Grande,['pop'],2021-04-17,24.0
Beautiful Mistakes,Maroon 5 ,['pop'],2021-04-17,25.0
Starting Over,Chris Stapleton,"['contemporary country', 'outlaw country']",2021-04-17,26.0
On Me,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",2021-04-17,27.0
My Ex's Best Friend,Machine Gun Kelly ,Need Manual Check,,
The Good Ones,Gabby Barrett,['contemporary country'],2021-04-17,29.0
Without You,The Kid LAROI,['australian hip hop'],2021-04-17,30.0
Dakiti,Bad Bunny ,"['reggaeton', 'trap latino', 'urbano latino']",2021-04-17,31.0
Tombstone,Rod Wave,['florida rap'],2021-04-17,32.0
For The Night,Pop Smoke ,"['brooklyn drill', 'rap']",2021-04-17,33.0
No More Parties,Coi Leray ,"['new jersey underground rap', 'trap queen']",2021-04-17,34.0
Good Days,SZA,"['pop', 'r&b', 'rap']",2021-04-17,35.0
Track Star,Mooski,['alabama rap'],2021-04-17,36.0
What's Your Country Song,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']",2021-04-17,37.0
Wants And Needs,Drake ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2021-04-17,38.0
Street Runner,Rod Wave,['florida rap'],2021-04-17,39.0
Cry Baby,Megan Thee Stallion ,"['houston rap', 'pop', 'r&b', 'rap', 'trap queen']",2021-04-17,40.0
Streets,Doja Cat,"['dance pop', 'pop']",2021-04-17,41.0
We're Good,Dua Lipa,"['dance pop', 'pop', 'uk pop']",2021-04-17,42.0
Put Your Records On,Ritt Momney,['bedroom pop'],2021-04-17,43.0
Heat Waves,Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",2021-04-17,44.0
Forever After All,Luke Combs,"['contemporary country', 'country']",2021-04-17,45.0
Richer,Rod Wave ,['florida rap'],2021-04-17,46.0
Goosebumps,Travis Scott ,"['hip hop', 'rap', 'slap house']",2021-04-17,47.0
Whoopty,CJ,['nyc rap'],2021-04-17,48.0
Time Today,Moneybagg Yo,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",2021-04-17,49.0
Run It Up,Lil Tjay ,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",2021-04-17,50.0
Telepatia,Kali Uchis,['colombian pop'],2021-04-17,51.0
Just The Way,Parmalee ,"['contemporary country', 'country road', 'modern country rock', 'modern uplift']",2021-04-17,52.0
Anyone,Justin Bieber,"['canadian pop', 'pop']",2021-04-17,53.0
Long Live,Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",2021-04-17,54.0
Headshot,"Lil Tjay, Polo G ","['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",2021-04-17,55.0
Dancing With The Devil,Demi Lovato,"['pop', 'post-teen pop']",2021-04-17,56.0
Hold On,Justin Bieber,"['canadian pop', 'pop']",2021-04-17,57.0
Lady,Brett Young,"['contemporary country', 'country', 'country road', 'modern country rock']",2021-04-17,58.0
Momma's House,Dustin Lynch,"['contemporary country', 'country', 'country road', 'modern country rock']",2021-04-17,59.0
Willow,Taylor Swift,['pop'],2021-04-17,60.0
Met Him Last Night,Demi Lovato ,"['pop', 'post-teen pop']",2021-04-17,61.0
Somebody Like That,Tenille Arts,"['canadian contemporary country', 'contemporary country', 'country pop']",2021-04-17,62.0
My Head And My Heart,Ava Ma,['pop'],2021-04-17,63.0
Hell Of A View,Eric Church,"['contemporary country', 'country', 'country road']",2021-04-17,64.0
Damage,H.E.R.,"['r&b', 'rap']",2021-04-17,65.0
Made For You,Jake Owen,"['contemporary country', 'country', 'country road', 'modern country rock']",2021-04-17,66.0
4 Da Gang,42 Dugg ,"['detroit trap', 'southern hip hop', 'trap']",2021-04-17,67.0
Breaking Up Was Easy In The 90's,Sam Hunt,"['contemporary country', 'country', 'country pop', 'modern country rock']",2021-04-17,68.0
