date,rank,song_title,artist,genres
2021-04-24,1.0,Rapstar,Polo G,"['chicago rap', 'rap']"
2021-04-24,2.0,Montero (Call Me By Your Name),Lil Nas ,['lgbtq+ hip hop']
,,Leave The Door Open,Silk Sonic (Bruno Mars ,Need Manual Check
2021-04-24,4.0,Peaches,Justin Bieber ,"['canadian pop', 'pop']"
2021-04-24,5.0,Save Your Tears,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2021-04-24,6.0,Levitating,Dua Lipa ,"['dance pop', 'pop', 'uk pop']"
2021-04-24,7.0,Kiss Me More,Doja Cat ,"['dance pop', 'pop']"
2021-04-24,8.0,Up,Cardi B,"['pop', 'rap']"
2021-04-24,9.0,Drivers License,Olivia Rodrigo,['pop']
2021-04-24,10.0,Astronaut In The Ocean,Masked Wolf,['australian hip hop']
2021-04-24,11.0,Blinding Lights,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2021-04-24,12.0,Beat Box,SpotemGottem ,"['florida drill', 'florida rap']"
2021-04-24,13.0,Calling My Phone,Lil Tjay ,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']"
2021-04-24,14.0,What You Know Bout Love,Pop Smoke,"['brooklyn drill', 'rap']"
2021-04-24,15.0,Deja Vu,Olivia Rodrigo,['pop']
2021-04-24,16.0,Ruff Ryders' Anthem,DM,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
2021-04-24,17.0,Best Friend,Saweetie ,"['cali rap', 'trap queen']"
2021-04-24,18.0,Mood,24kGoldn ,"['cali rap', 'pop rap']"
2021-04-24,19.0,The Good Ones,Gabby Barrett,['contemporary country']
2021-04-24,20.0,Back In Blood,Pooh Shiesty ,"['memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']"
2021-04-24,21.0,34+35,Ariana Grande,['pop']
2021-04-24,22.0,Go Crazy,Chris Brown ,"['r&b', 'rap']"
2021-04-24,23.0,You Broke Me First.,Tate McRae,['pop']
2021-04-24,24.0,Therefore I Am,Billie Eilish,"['art pop', 'pop']"
2021-04-24,25.0,What's Next,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2021-04-24,26.0,Heartbreak Anniversary,Giveon,['r&b']
2021-04-24,27.0,Beautiful Mistakes,Maroon 5 ,['pop']
,,My Ex's Best Friend,Machine Gun Kelly ,Need Manual Check
2021-04-24,29.0,You're Mines Still,Yung Bleu ,"['alabama rap', 'trap']"
2021-04-24,30.0,Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,['pop']
2021-04-24,31.0,Positions,Ariana Grande,['pop']
2021-04-24,32.0,Without You,The Kid LAROI,['australian hip hop']
2021-04-24,33.0,On Me,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']"
2021-04-24,34.0,Dakiti,Bad Bunny ,"['reggaeton', 'trap latino', 'urbano latino']"
2021-04-24,35.0,Track Star,Mooski,['alabama rap']
2021-04-24,36.0,For The Night,Pop Smoke ,"['brooklyn drill', 'rap']"
2021-04-24,37.0,No More Parties,Coi Leray ,"['new jersey underground rap', 'trap queen']"
2021-04-24,38.0,Tombstone,Rod Wave,['florida rap']
2021-04-24,39.0,Good Days,SZA,"['pop', 'r&b', 'rap']"
2021-04-24,40.0,Party Up (Up In Here),DM,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
2021-04-24,41.0,Heat Waves,Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
2021-04-24,42.0,Starting Over,Chris Stapleton,"['contemporary country', 'outlaw country']"
2021-04-24,43.0,Made For You,Jake Owen,"['contemporary country', 'country', 'country road', 'modern country rock']"
2021-04-24,44.0,Forever After All,Luke Combs,"['contemporary country', 'country']"
2021-04-24,45.0,We're Good,Dua Lipa,"['dance pop', 'pop', 'uk pop']"
2021-04-24,46.0,X Gon' Give It To Ya,DM,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
2021-04-24,47.0,Wants And Needs,Drake ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2021-04-24,48.0,Streets,Doja Cat,"['dance pop', 'pop']"
2021-04-24,49.0,Cry Baby,Megan Thee Stallion ,"['houston rap', 'pop', 'r&b', 'rap', 'trap queen']"
2021-04-24,50.0,Goosebumps,Travis Scott ,"['hip hop', 'rap', 'slap house']"
2021-04-24,51.0,Time Today,Moneybagg Yo,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
2021-04-24,52.0,Love Story (Taylor's Version),Taylor Swift,['pop']
2021-04-24,53.0,Street Runner,Rod Wave,['florida rap']
2021-04-24,54.0,What's Your Country Song,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']"
2021-04-24,55.0,Richer,Rod Wave ,['florida rap']
2021-04-24,56.0,Telepatia,Kali Uchis,['colombian pop']
2021-04-24,57.0,Just The Way,Parmalee ,"['contemporary country', 'country road', 'modern country rock', 'modern uplift']"
2021-04-24,58.0,Hell Of A View,Eric Church,"['contemporary country', 'country', 'country road']"
2021-04-24,59.0,Somebody Like That,Tenille Arts,"['canadian contemporary country', 'contemporary country', 'country pop']"
2021-04-24,60.0,Long Live,Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
2021-04-24,61.0,Down To One,Luke Bryan,"['contemporary country', 'country', 'country road', 'modern country rock']"
2021-04-24,62.0,Willow,Taylor Swift,['pop']
2021-04-24,63.0,Hold On,Justin Bieber,"['canadian pop', 'pop']"
2021-04-24,64.0,Headshot,"Lil Tjay, Polo G ","['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']"
2021-04-24,65.0,Forever & Always (Taylor's Version),Taylor Swift,['pop']
2021-04-24,66.0,Lady,Brett Young,"['contemporary country', 'country', 'country road', 'modern country rock']"
2021-04-24,67.0,Breaking Up Was Easy In The 90's,Sam Hunt,"['contemporary country', 'country', 'country pop', 'modern country rock']"
2021-04-24,68.0,Damage,H.E.R.,"['r&b', 'rap']"
2021-04-24,69.0,Momma's House,Dustin Lynch,"['contemporary country', 'country', 'country road', 'modern country rock']"
2021-04-24,70.0,Anyone,Justin Bieber,"['canadian pop', 'pop']"
2021-04-24,71.0,Fearless (Taylor's Version),Taylor Swift,['pop']
2021-04-24,72.0,You All Over Me (Taylor's Version) (From The Vault),Taylor Swift ,['pop']
2021-04-24,73.0,My Head And My Heart,Ava Ma,['pop']
2021-04-24,74.0,La Noche de Anoche,Bad Bunny ,"['reggaeton', 'trap latino', 'urbano latino']"
2021-04-24,75.0,You Belong With Me (Taylor's Version),Taylor Swift,['pop']
2021-04-24,76.0,Settling Down,Miranda Lambert,"['contemporary country', 'country', 'country dawn', 'country road']"
2021-04-24,77.0,Hellcats & Trackhawks,Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']"
2021-04-24,78.0,Glad You Exist,Dan + Shay,"['contemporary country', 'country', 'country road']"
2021-04-24,79.0,Run It Up,Lil Tjay ,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']"
2021-04-24,80.0,Almost Maybes,Jordan Davis,['contemporary country']
2021-04-24,81.0,Big Gangsta,Kevin Gates,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2021-04-24,82.0,Masterpiece,DaBaby,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']"
2021-04-24,83.0,The Business,Tiesto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']"
2021-04-24,84.0,4 Da Gang,42 Dugg ,"['detroit trap', 'southern hip hop', 'trap']"
2021-04-24,85.0,Quicksand,Morray,['pop rap']
2021-04-24,86.0,Pick Up Your Feelings,Jazmine Sullivan,"['hip pop', 'neo soul', 'r&b', 'urban contemporary']"
2021-04-24,87.0,Shy Away,twenty one pilots,"['modern rock', 'pop', 'pov: indie', 'rock']"
2021-04-24,88.0,Fifteen (Taylor's Version),Taylor Swift,['pop']
2021-04-24,89.0,Big Purr (Prrdd),Coi Leray ,"['new jersey underground rap', 'trap queen']"
2021-04-24,90.0,Famous Friends,Chris Young + Kane Brown,"['contemporary country', 'country', 'country road']"
2021-04-24,91.0,Nobody,Dylan Scott,"['contemporary country', 'country road', 'modern country rock']"
2021-04-24,92.0,Lil Bit,Nelly ,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']"
2021-04-24,93.0,Met Him Last Night,Demi Lovato ,"['pop', 'post-teen pop']"
2021-04-24,94.0,The Way I Loved You (Taylor's Version),Taylor Swift,['pop']
2021-04-24,95.0,Monsters,All Time Low ,"['modern rock', 'neon pop punk', 'pop emo', 'pop punk']"
,,One Too Many,Keith Urban Duet With P!nk,Need Manual Check
2021-04-24,97.0,Wasted On You,Morgan Wallen,['contemporary country']
2021-04-24,98.0,Dancing With The Devil,Demi Lovato,"['pop', 'post-teen pop']"
2021-04-24,99.0,Gone,Dierks Bentley,"['contemporary country', 'country', 'country road', 'modern country rock']"
2021-04-24,100.0,Real As It Gets,Lil Baby ,"['atl hip hop', 'atl trap', 'rap', 'trap']"
