date,rank,song_title,artist,genres
2020-08-01,1.0,Rockstar,DaBaby,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']"
2020-08-01,2.0,Whats Poppin,Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
2020-08-01,3.0,Popstar,DJ Khaled,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
2020-08-01,4.0,Blinding Lights,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2020-08-01,5.0,Roses,SAINt JHN,"['melodic rap', 'slap house']"
2020-08-01,6.0,Savage,Megan Thee Stallion,"['houston rap', 'pop', 'r&b', 'rap', 'trap queen']"
2020-08-01,7.0,Watermelon Sugar,Harry Styles,['pop']
2020-08-01,8.0,Greece,DJ Khaled,"['hip hop', 'miami hip hop', 'pop rap', 'rap']"
2020-08-01,9.0,Come & Go,Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
2020-08-01,10.0,Go Crazy,Chris Brown,"['r&b', 'rap']"
2020-08-01,11.0,Blueberry Faygo,Lil Mosey,"['melodic rap', 'rap conscient']"
2020-08-01,12.0,Savage Love (Laxed - Siren Beat),Jawsh 685,['nz pop']
2020-08-01,13.0,Wishing Well,Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
2020-08-01,14.0,Rain On Me,Lady Gaga,"['art pop', 'dance pop', 'pop']"
2020-08-01,15.0,Adore You,Harry Styles,['pop']
2020-08-01,16.0,I Hope,Gabby Barrett,['contemporary country']
2020-08-01,17.0,Break My Heart,Dua Lipa,"['dance pop', 'pop', 'uk pop']"
2020-08-01,18.0,Circles,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2020-08-01,19.0,Before You Go,Lewis Capaldi,"['pop', 'uk pop']"
2020-08-01,20.0,We Paid,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']"
2020-08-01,21.0,Say So,Doja Cat,"['dance pop', 'pop']"
2020-08-01,22.0,Intentions,Justin Bieber,"['canadian pop', 'pop']"
2020-08-01,23.0,For The Night,Pop Smoke,"['brooklyn drill', 'rap']"
2020-08-01,24.0,Party Girl,StaySolidRocky,['melodic rap']
2020-08-01,25.0,One Margarita,Luke Bryan,"['contemporary country', 'country', 'country road', 'modern country rock']"
2020-08-01,26.0,Bluebird,Miranda Lambert,"['contemporary country', 'country', 'country dawn', 'country road']"
2020-08-01,27.0,Don't Start Now,Dua Lipa,"['dance pop', 'pop', 'uk pop']"
2020-08-01,28.0,Life Is Good,Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
2020-08-01,29.0,Death Bed,Powfu,"['sad lo-fi', 'sad rap']"
2020-08-01,30.0,Falling,Trevor Daniel,['melodic rap']
2020-08-01,31.0,The Bones,Maren Morris,"['classic texas country', 'contemporary country']"
2020-08-01,32.0,The Woo,Pop Smoke,"['brooklyn drill', 'rap']"
2020-08-01,33.0,Hard To Forget,Sam Hunt,"['contemporary country', 'country', 'country pop', 'modern country rock']"
2020-08-01,34.0,The Box,Roddy Ricch,"['melodic rap', 'rap', 'trap']"
2020-08-01,35.0,Die From A Broken Heart,Maddie,"['contemporary country', 'country', 'country road']"
2020-08-01,36.0,Hate The Other Side,Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
2020-08-01,37.0,The Bigger Picture,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']"
2020-08-01,38.0,Conversations,Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
2020-08-01,39.0,Chasin' You,Morgan Wallen,['contemporary country']
2020-08-01,40.0,Sunday Best,Surfaces,['bedroom soul']
2020-08-01,41.0,Rags2Riches,Rod Wave,['florida rap']
2020-08-01,42.0,Life's A Mess,Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
2020-08-01,43.0,Emotionally Scarred,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']"
2020-08-01,44.0,Said Sum,Moneybagg Yo,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
2020-08-01,45.0,Toosie Slide,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2020-08-01,46.0,Girls In The Hood,Megan Thee Stallion,"['houston rap', 'pop', 'r&b', 'rap', 'trap queen']"
2020-08-01,47.0,Supalonely,BENEE,"['alt z', 'nz pop']"
2020-08-01,48.0,Walk Em Down,NLE Choppa,"['memphis hip hop', 'rap']"
2020-08-01,49.0,Blood On My Jeans,Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
2020-08-01,50.0,One Big Country Song,LOCASH,"['contemporary country', 'country rap', 'country road', 'modern country rock']"
2020-08-01,51.0,Righteous,Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
2020-08-01,52.0,If The World Was Ending,JP Sa,"['alt z', 'canadian contemporary r&b', 'singer-songwriter pop']"
2020-08-01,53.0,Got What I Got,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']"
2020-08-01,54.0,I Love My Country,Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
2020-08-01,55.0,Got It On Me,Pop Smoke,"['brooklyn drill', 'rap']"
