song_title,artist,genres,date,rank
Leave The Door Open,Silk Sonic (Bruno Mars,[],,
Levitating,Dua Lipa,"['dance pop', 'pop', 'uk pop']",2021-05-22,2.0
Peaches,Justin Bieber,"['canadian pop', 'pop']",2021-05-22,3.0
Save Your Tears,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",2021-05-22,4.0
Kiss Me More,Doja Cat,"['dance pop', 'pop']",2021-05-22,5.0
Astronaut In The Ocean,Masked Wolf,['australian hip hop'],2021-05-22,6.0
Rapstar,Polo G,"['chicago rap', 'rap']",2021-05-22,7.0
interlude,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",2021-05-22,8.0
Without You,The Kid LAROI,['australian hip hop'],2021-05-22,9.0
Montero (Call Me By Your Name),Lil Nas,['lgbtq+ hip hop'],2021-05-22,10.0
Miss The Rage,Trippie Redd,"['melodic rap', 'rap', 'trap']",2021-05-22,11.0
Blinding Lights,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",2021-05-22,12.0
Calling My Phone,Lil Tjay,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",2021-05-22,13.0
Up,Cardi B,"['pop', 'rap']",2021-05-22,14.0
Beat Box,SpotemGottem,"['florida drill', 'florida rap']",2021-05-22,15.0
Drivers License,Olivia Rodrigo,['pop'],2021-05-22,16.0
Deja Vu,Olivia Rodrigo,['pop'],2021-05-22,17.0
Beautiful Mistakes,Maroon 5,['pop'],2021-05-22,18.0
Best Friend,Saweetie,"['cali rap', 'trap queen']",2021-05-22,19.0
My Ex's Best Friend,Machine Gun Kelly,[],,
Every Chance I Get,DJ Khaled,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",2021-05-22,21.0
Forever After All,Luke Combs,"['contemporary country', 'country']",2021-05-22,22.0
Heartbreak Anniversary,Giveon,['r&b'],2021-05-22,23.0
Mood,24kGoldn,"['cali rap', 'pop rap']",2021-05-22,24.0
On Me,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",2021-05-22,25.0
Back In Blood,Pooh Shiesty,"['memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']",2021-05-22,26.0
The Good Ones,Gabby Barrett,['contemporary country'],2021-05-22,27.0
What You Know Bout Love,Pop Smoke,"['brooklyn drill', 'rap']",2021-05-22,28.0
Your Power,Billie Eilish,"['art pop', 'pop']",2021-05-22,29.0
Hell Of A View,Eric Church,"['contemporary country', 'country', 'country road']",2021-05-22,30.0
We're Good,Dua Lipa,"['dance pop', 'pop', 'uk pop']",2021-05-22,31.0
Breaking Up Was Easy In The 90's,Sam Hunt,"['contemporary country', 'country', 'country pop', 'modern country rock']",2021-05-22,32.0
Heat Waves,Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",2021-05-22,33.0
Track Star,Mooski,['alabama rap'],2021-05-22,34.0
Made For You,Jake Owen,"['contemporary country', 'country', 'country road', 'modern country rock']",2021-05-22,35.0
34+35,Ariana Grande Feat. Doja Cat,['pop'],2021-05-22,36.0
Positions,Ariana Grande,['pop'],2021-05-22,37.0
Wants And Needs,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2021-05-22,38.0
You Broke Me First.,Tate McRae,['pop'],2021-05-22,39.0
Telepatia,Kali Uchis,['colombian pop'],2021-05-22,40.0
