date,rank,song_title,artist,genres,simplified_genre
2016-04-02,1.0,Work,Rihanna ,"['barbadian pop', 'pop', 'urban contemporary']",Pop
2016-04-02,2.0,Love Yourself,Justin Bieber,"['canadian pop', 'pop']",Pop
2016-04-02,3.0,7 Years,Lukas Graham,"['danish pop', 'scandipop']",Pop
2016-04-02,4.0,Stressed Out,twenty one pilots,"['modern rock', 'pop', 'pov: indie', 'rock']",Rock
2016-04-02,5.0,My House,Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Pop
2016-04-02,6.0,Pillowtalk,Zayn,"['pop', 'uk pop']",Pop
2016-04-02,7.0,"Me, Myself & I",G-Eazy ,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",Pop
2016-04-02,8.0,Sorry,Justin Bieber,"['canadian pop', 'pop']",Pop
2016-04-02,9.0,Cake By The Ocean,DNCE,"['dance pop', 'pop']",Pop
2016-04-02,10.0,Dangerous Woman,Ariana Grande,['pop'],Pop
2016-04-02,11.0,I Took A Pill In Ibiza,Mike Posner,"['dance pop', 'pop', 'pop dance', 'pop rap']",Pop
2016-04-02,12.0,No,Meghan Trainor,"['hip pop', 'pop']",Pop
2016-04-02,13.0,Work From Home,Fifth Harmony ,"['girl group', 'pop', 'talent show']",Pop
2016-04-02,14.0,One Call Away,Charlie Puth,"['pop', 'viral pop']",Pop
2016-04-02,15.0,Hands To Myself,Selena Gomez,"['pop', 'post-teen pop']",Pop
2016-04-02,16.0,Hello,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",Pop
2016-04-02,17.0,Roses,The Chainsmokers ,['pop'],Pop
2016-04-02,18.0,2 Phones,Kevin Gates,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip Hop
2016-04-02,19.0,Never Forget You,Zara Larsson ,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",Pop
2016-04-02,20.0,Stitches,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']",Pop
2016-04-02,21.0,Don't,Bryson Tiller,"['kentucky hip hop', 'r&b', 'rap']",Hip Hop
2016-04-02,22.0,Down In The DM,Yo Gotti ,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",Hip Hop
2016-04-02,23.0,Youth,Troye Sivan,"['australian pop', 'pop', 'viral pop']",Pop
2016-04-02,24.0,Jumpman,Drake ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Hip Hop
2016-04-02,25.0,The Hills,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",R&B
2016-04-02,26.0,Middle,DJ Snake ,"['edm', 'electronic trap', 'pop', 'pop dance']",Electronic/Dance
2016-04-02,27.0,Oui,Jeremih,"['chicago rap', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Hip Hop
2016-04-02,28.0,Hotline Bling,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Hip Hop
2016-04-02,29.0,Back To Sleep,Chris Brown,"['r&b', 'rap']",R&B
2016-04-02,30.0,Exchange,Bryson Tiller,"['kentucky hip hop', 'r&b', 'rap']",Hip Hop
2016-04-02,31.0,Summer Sixteen,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Hip Hop
2016-04-02,32.0,You Should Be Here,Cole Swindell,"['contemporary country', 'country', 'country road', 'modern country rock']",Country
2016-04-02,33.0,Panda,Desiigner,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']",Pop
2016-04-02,34.0,When We Were Young,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",Pop
2016-04-02,35.0,Low Life,Future ,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",Hip Hop
2016-04-02,36.0,What Do You Mean?,Justin Bieber,"['canadian pop', 'pop']",Pop
2016-04-02,37.0,Say It,Tory Lanez,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",Hip Hop
2016-04-02,38.0,Let It Go,James Bay,"['neo mellow', 'pop', 'uk pop']",Pop
2016-04-02,39.0,Here,Alessia Cara,"['canadian contemporary r&b', 'canadian pop', 'pop']",R&B
2016-04-02,40.0,679,Fetty Wap ,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Hip Hop
2016-04-02,41.0,Hide Away,Daya,"['alt z', 'pop']",Pop
