date,rank,song_title,artist,genres
2018-10-20,1.0,Girls Like You,Maroon 5 ,['Pop']
2018-10-20,2.0,Lucid Dreams,Juice WRLD,['Hip Hop']
2018-10-20,3.0,Better Now,Post Malone,"['Pop', 'Hip Hop']"
2018-10-20,4.0,Drip Too Hard,Lil Baby ,['Hip Hop']
2018-10-20,5.0,Shallow,Lady Gaga ,['Pop']
2018-10-20,6.0,Sicko Mode,Travis Scott,['Hip Hop']
2018-10-20,7.0,Youngblood,5 Seconds Of Summer,['Pop']
2018-10-20,8.0,Happier,Marshmello ,"['Electronic/Dance', 'Pop']"
2018-10-20,9.0,I Like It,"Cardi B, Bad Bunny ","['Pop', 'Hip Hop']"
2018-10-20,10.0,FEFE,6i,
2018-10-20,11.0,In My Feelings,Drake,['Hip Hop']
2018-10-20,12.0,Love Lies,Khalid ,['Pop']
2018-10-20,13.0,Natural,Imagine Dragons,"['Rock', 'Pop']"
2018-10-20,14.0,Taste,Tyga ,['Hip Hop']
2018-10-20,15.0,Never Recover,Lil Baby ,['Hip Hop']
2018-10-20,16.0,Trip,Ella Mai,"['R&B', 'Hip Hop']"
2018-10-20,17.0,I Love It,Kanye West ,['Hip Hop']
2018-10-20,18.0,Without Me,Halsey,['Pop']
2018-10-20,19.0,Nonstop,Drake,['Hip Hop']
2018-10-20,20.0,Eastside,"benny blanco, Halsey ",['Pop']
2018-10-20,21.0,Back To You,Selena Gomez,['Pop']
2018-10-20,22.0,God Is A Woman,Ariana Grande,['Pop']
2018-10-20,23.0,Mona Lisa,Lil Wayne ,['Hip Hop']
2018-10-20,24.0,Mo Bamba,Sheck Wes,['Hip Hop']
2018-10-20,25.0,STOOPID,6i,
2018-10-20,26.0,Yes Indeed,Lil Baby ,['Hip Hop']
2018-10-20,27.0,Big Bank,YG ,['Hip Hop']
2018-10-20,28.0,Close Friends,Lil Baby,['Hip Hop']
2018-10-20,29.0,Uproar,Lil Wayne,['Hip Hop']
2018-10-20,30.0,Boo'd Up,Ella Mai,"['R&B', 'Hip Hop']"
2018-10-20,31.0,Taki Taki,DJ Snake ,"['Electronic/Dance', 'Pop']"
2018-10-20,32.0,No Brainer,DJ Khaled ,['Hip Hop']
2018-10-20,33.0,Delicate,Taylor Swift,['Pop']
2018-10-20,34.0,Meant To Be,Bebe Re,['Pop']
2018-10-20,35.0,High Hopes,Panic! At The Disco,['Pop']
2018-10-20,36.0,I'll Never Love Again,Lady Gaga,['Pop']
2018-10-20,37.0,Sad!,,
2018-10-20,38.0,Psycho,Post Malone ,"['Pop', 'Hip Hop']"
2018-10-20,39.0,Broken,lovelytheband,
2018-10-20,40.0,I Like Me Better,Lauv,['Pop']
2018-10-20,41.0,Always Remember Us This Way,Lady Gaga,['Pop']
2018-10-20,42.0,I'm A Mess,Bebe Re,['Pop']
2018-10-20,43.0,Venom,Eminem,['Hip Hop']
2018-10-20,44.0,No Tears Left To Cry,Ariana Grande,['Pop']
2018-10-20,45.0,The Middle,"Zedd, Maren Morris ","['Electronic/Dance', 'Pop']"
2018-10-20,46.0,Wake Up In The Sky,Gucci Mane ,['Hip Hop']
2018-10-20,47.0,Beautiful,Bazzi ,['Pop']
2018-10-20,48.0,Simple,Florida Georgia Line,['Country']
2018-10-20,49.0,Tequila,Dan + Shay,['Country']
2018-10-20,50.0,Falling Down,Lil Peep ,
2018-10-20,51.0,She Got The Best Of Me ,Luke Combs,['Country']
2018-10-20,52.0,Ring,Cardi B ,"['Pop', 'Hip Hop']"
2018-10-20,53.0,Killshot,Eminem,['Hip Hop']
2018-10-20,54.0,Off White VLONE,Lil Baby ,['Hip Hop']
2018-10-20,55.0,Breathin,Ariana Grande,['Pop']
2018-10-20,56.0,Drew Barrymore,Bryce Vine,
2018-10-20,57.0,Smile (Living My Best Life),Lil' Duval ,['Hip Hop']
2018-10-20,58.0,Blue Tacoma,Russell Dickerson,['Country']
2018-10-20,59.0,Jackie Chan,Tiesto ,['Electronic/Dance']
2018-10-20,60.0,Don't Cry,Lil Wayne ,['Hip Hop']
2018-10-20,61.0,Business Is Business,Lil Baby ,['Hip Hop']
2018-10-20,62.0,New Patek,Lil Uzi Vert,['Hip Hop']
2018-10-20,63.0,Is That Alright?,Lady Gaga,['Pop']
2018-10-20,64.0,Lucky You,Eminem ,['Hip Hop']
2018-10-20,65.0,Lose It,Kane Brown,['Country']
2018-10-20,66.0,Break Up In The End,Cole Swindell,['Country']
2018-10-20,67.0,Let It Fly,Lil Wayne ,['Hip Hop']
2018-10-20,68.0,Desperate Man,Eric Church,['Country']
2018-10-20,69.0,Speechless,Dan + Shay,['Country']
2018-10-20,70.0,Hotel Key,Old Dominion,['Country']
2018-10-20,71.0,Lie,NF,['Hip Hop']
2018-10-20,72.0,Drunk Me,Mitchell Tenpenny,
2018-10-20,73.0,You Say,Lauren Daigle,
2018-10-20,74.0,"If I'm Lyin, I'm Flyin",Kodak Black,['Hip Hop']
2018-10-20,75.0,Dangerous,Meek Mill ,['Hip Hop']
2018-10-20,76.0,Better,Khalid,['Pop']
2018-10-20,77.0,Africa,Weezer,['Rock']
2018-10-20,78.0,Dedicate,Lil Wayne,['Hip Hop']
2018-10-20,79.0,Jumpsuit,twenty one pilots,"['Rock', 'Pop']"
2018-10-20,80.0,Belly,Lil Baby ,['Hip Hop']
2018-10-20,81.0,My Blood,twenty one pilots,"['Rock', 'Pop']"
2018-10-20,82.0,Lost In Japan,Shawn Mendes ,['Pop']
2018-10-20,83.0,Promises,Calvin Harris ,"['Electronic/Dance', 'Pop']"
2018-10-20,84.0,The Way I Am,Charlie Puth,['Pop']
2018-10-20,85.0,No Stylist,French Montana ,['Hip Hop']
2018-10-20,86.0,Medicine,Queen Naija,['R&B']
2018-10-20,87.0,Best Shot,Jimmie Allen,
2018-10-20,88.0,W O R K I N  M E,Quavo,['Hip Hop']
2018-10-20,89.0,Hangin' On,Chris Young,['Country']
,,That's On Me,Yella Beezy,
2018-10-20,91.0,Can't Be Broken,Lil Wayne,['Hip Hop']
2018-10-20,92.0,Best Part,Daniel Caesar ,
2018-10-20,93.0,Maybe It's Time,Bradley Cooper,
2018-10-20,94.0,Leave Me Alone,Flipp Dinero,
2018-10-20,95.0,Nico And The Niners,twenty one pilots,"['Rock', 'Pop']"
2018-10-20,96.0,Drunk Girl,Chris Janson,['Country']
2018-10-20,97.0,Deep End,Lil Baby,['Hip Hop']
2018-10-20,98.0,I Am,Lil Baby ,['Hip Hop']
2018-10-20,99.0,"Sunrise, Sunburn, Sunset",Luke Bryan,['Country']
2018-10-20,100.0,Noticed,Lil Mosey,
